Ligand,Conformer,Vshell_0.0,Vshell_0.5,Vshell_1.0,Vshell_1.5,Vshell_2.0,Vshell_2.5,Vshell_3.0,Vshell_3.5,Vshell_4.0,Vshell_4.5,Vshell_5.0,Vshell_5.5,Vshell_6.0,Vshell_6.5,Vshell_7.0,Vshell_7.5,Vshell_8.0,Vshell_8.5,Vshell_9.0,Vshell_9.5,Vshell_10.0,Vshell_10.5,Vshell_11.0,Vshell_11.5,Vshell_12.0
R-DTBM-SEGPHOS_1,CONF_0045,0.0,8.627797408716138,31.109154929577464,35.50549604424841,37.59417825149795,44.82517526965785,48.69228256935801,50.72753958456858,52.417677449175095,51.362036853498616,47.49302248698273,43.79996371056812,40.89366115969053,39.13235440864426,36.64425328608687,32.68913110625608,27.21139514120285,19.28384045744695,11.372097215556964,5.444354478629985,1.439409553807111,0.0654218419125472,0.0,0.0,0.0
R-DTBM-SEGPHOS_1,CONF_0037,0.0,8.679328621908128,31.177621283255085,35.51687320590913,37.42806857956455,44.7498553985597,48.65829868742773,50.74649352164151,52.79217019415473,51.69754146460176,47.59689047688679,44.03702836886893,41.29099854629969,38.8475825932404,35.973557028669426,32.15064472055747,26.872499600805966,19.16126282494637,11.638497391994584,5.957144928756332,1.464099015684274,0.0360749059346827,0.0,0.0,0.0
R-DTBM-SEGPHOS_1,CONF_0032,0.0,8.701413427561839,31.158059467918623,35.520373871035495,37.430046075659,44.76765249890357,48.671318486349065,50.75815748291716,52.792045943078094,51.70038721883458,47.59021495190444,44.024668924675765,41.28337656140227,38.84457013106093,35.97181126964588,32.151810963960244,26.876010023032094,19.166824523456054,11.642009443735212,5.957497543815727,1.4645367015515565,0.0361831306524868,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_1564,0.0,8.252355712603062,30.667057902973397,35.16855702583491,38.41187288655105,43.73224262532654,47.72771407638871,50.102869658472734,51.60085087137279,50.73508775717278,47.89172616360759,43.646456784020025,40.71830027527517,39.182060034605655,36.84594935187682,32.63806378149829,27.83982285104688,19.6224432706752,11.091747071366369,5.326536971909363,1.4494763287546084,0.0318721793932922,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_1280,0.0,9.00323910482921,31.60798122065728,35.922950360568514,39.19990508018747,47.16962543459884,49.940638543901,53.26914914642483,54.98644420753905,52.87774443556918,49.21832781278015,44.76288274831965,41.0190925198503,40.00488583709733,37.42172503726992,33.19012099952008,26.689491659795973,17.750270926303642,10.16567060294806,4.805173568151456,1.2748197728967403,0.097059534417264,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_1099,0.0,8.87073027090695,31.449530516431928,35.83980956381713,38.54683699499694,46.78508094502602,49.44500348665801,51.2543618355187,53.31377621387089,52.58688872708432,49.22850004132468,45.36448526859439,41.83387165902996,40.71088459069111,37.46061892435261,32.17983614633598,26.518661466685472,18.27263005563901,10.538488403106912,4.781261859436178,1.1895108184009504,0.0480337372520301,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_1094,0.0,8.782391048292109,31.49647887323944,35.90632220121823,38.934426229508205,47.06443185935206,49.68024256547414,52.05787916784116,54.09370022191242,52.79570821009909,49.28683141438481,45.00744196320567,41.991779302665705,41.24093672511471,38.16610856509976,32.96008832350037,26.642178623951768,17.542478160696742,9.80437135010637,4.428823107570072,1.247165984009346,0.0978892572537617,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_1081,0.0,8.325971731448762,30.73552425665101,35.17380802352447,39.10547964167771,44.36022602317436,48.03798250492104,50.72608158940912,51.37458966081942,49.96840231507013,47.42062482913835,43.053269204472535,40.27517574750684,40.08085636768607,38.31194034213629,33.97701723000935,27.88903089357953,19.31577892413623,10.631054298284694,4.597946105432785,1.304900728866338,0.0708330778027496,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_1044,0.0,8.91489988221437,31.49647887323944,35.89319470699433,38.80490023532204,46.92936457995665,49.59991702636619,51.939295561538735,53.94397767456655,52.66087833713748,49.27236777692303,44.98219714102389,41.87452224514955,40.865226207667845,37.99169505893358,32.9361980040981,26.665881740398994,17.65475839100613,10.00222511809581,4.593957147573369,1.2532537965270023,0.0938669052420445,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_1027,0.0,9.246171967020022,31.827073552425663,35.994713995659176,37.63718879155213,46.216527150112185,49.1976273071525,51.37991141869408,54.2140995151723,53.51244575894303,50.11109980863496,45.79706581535517,41.7846049160698,39.79038911597414,36.47337189701484,31.718533869475447,26.9289459475748,18.915667029370173,10.245563640096728,4.804247953620542,1.2009901250110415,0.0683799841991912,0.0,0.0,0.0
