Ligand,Conformer,LUMO+1,LUMO,HOMO,HOMO-1,HOMO-2,HOMO-3,dipole(debye),trace,anisotropy
107_cs,CONF_0206,-4.673,-5.084,-7.795,-8.445,-8.658,-8.837,2.3004,-156.261407,30.954408
107_cs,CONF_0224,-4.541,-5.233,-7.819,-8.423,-8.682,-8.804,2.1993,-155.933316,29.889616
107_cs,CONF_0378,-4.603,-5.127,-7.782,-8.4,-8.64,-8.82,2.4178,-156.08295,30.303807
107_cs,CONF_0394,-4.596,-5.211,-7.792,-8.441,-8.697,-8.823,1.8711,-156.061992,30.749176
108_cs,CONF_0003,-4.704,-5.052,-7.802,-8.46,-8.677,-8.846,2.1365,-156.249647,31.871602
108_cs,CONF_0004,-4.695,-5.075,-7.819,-8.46,-8.667,-8.854,2.2096,-156.477207,31.248971
108_cs,CONF_0007,-4.689,-5.079,-7.812,-8.437,-8.663,-8.837,2.3165,-156.225256,31.688386
108_cs,CONF_0009,-4.686,-5.07,-7.794,-8.455,-8.66,-8.845,2.3362,-156.189665,31.815743
108_cs,CONF_0010,-4.68,-5.092,-7.823,-8.447,-8.635,-8.846,1.9997,-156.273087,31.629902
108_cs,CONF_0015,-4.686,-5.111,-7.818,-8.442,-8.681,-8.792,2.3015,-156.192518,31.650587
108_cs,CONF_0020,-4.686,-5.111,-7.819,-8.442,-8.681,-8.793,2.3,-156.193303,31.653923
108_cs,CONF_0024,-4.639,-5.085,-7.784,-8.428,-8.628,-8.837,2.3432,-156.289868,31.591737
108_cs,CONF_0026,-4.672,-5.119,-7.839,-8.43,-8.64,-8.813,2.2402,-156.22989,31.409231
108_cs,CONF_0027,-4.676,-5.102,-7.793,-8.424,-8.671,-8.806,2.1349,-155.984184,31.579241
108_cs,CONF_0030,-4.647,-5.086,-7.773,-8.427,-8.647,-8.82,2.4483,-156.195973,31.334477
108_cs,CONF_0032,-4.634,-5.103,-7.798,-8.43,-8.629,-8.845,2.4519,-156.436317,30.967605
108_cs,CONF_0033,-4.679,-5.093,-7.822,-8.448,-8.634,-8.847,2.0075,-156.27786,31.606366
108_cs,CONF_0034,-4.676,-5.104,-7.793,-8.424,-8.672,-8.807,2.1327,-155.987211,31.586971
108_cs,CONF_0035,-4.639,-5.131,-7.791,-8.43,-8.625,-8.841,2.4133,-156.246704,31.445179
