Ligand,Conformer,atom_1_ISOTROPIC,atom_2_ISOTROPIC,atom_3_ISOTROPIC,atom_5_ISOTROPIC,atom_6_ISOTROPIC,atom_7_ISOTROPIC,atom_1_ANISOTROPIC,atom_2_ANISOTROPIC,atom_3_ANISOTROPIC,atom_5_ANISOTROPIC,atom_6_ANISOTROPIC,atom_7_ANISOTROPIC,atom_1_dD/dB-CONTRIBUTION,atom_2_dD/dB-CONTRIBUTION,atom_3_dD/dB-CONTRIBUTION,atom_5_dD/dB-CONTRIBUTION,atom_6_dD/dB-CONTRIBUTION,atom_7_dD/dB-CONTRIBUTION
R-P-Phos_2,CONF_0008,103.823042,-42.313912,359.438632,193.131471,194.045295,196.102838,74.481406,234.815293,73.217811,158.175949,149.958386,189.938021,-175.357647,-369.907396,-643.658662,-219.013455,-221.292376,-201.207922
R-P-Phos_2,CONF_0009,106.202387,-47.223141,359.222572,193.687333,193.207018,198.909203,71.403019,233.970491,68.422729,156.478355,151.297263,148.133277,-175.079694,-375.166581,-644.499256,-220.338792,-221.380250,-204.854403
R-P-Phos_2,CONF_0010,103.804922,-42.280027,359.460317,193.110842,194.041874,196.097635,74.495926,234.791621,73.148127,158.177627,149.964075,189.944881,-175.372999,-369.879787,-643.642695,-219.037340,-221.298863,-201.198426
R-P-Phos_2,CONF_0011,106.212987,-47.231043,359.253457,193.690155,193.208750,198.896652,71.363680,233.925022,68.352229,156.474228,151.266354,148.179830,-175.067441,-375.177113,-644.468378,-220.330771,-221.387961,-204.862350
R-Solphos_1,CONF_0000,104.254662,-42.932658,344.159705,224.771868,222.931827,190.014241,74.653901,235.457501,119.325831,152.656814,147.699675,54.334022,-173.819283,-369.811603,-656.897353,-192.948818,-195.363123,-145.904778
R-Solphos_1,CONF_0001,104.755164,-44.205789,344.684103,224.257766,220.816629,189.984304,73.950378,237.678646,118.355609,155.217876,149.386500,54.572766,-173.441480,-371.017190,-656.323092,-193.941949,-196.738772,-146.264656
R-Solphos_1,CONF_0002,104.139425,-43.832593,344.352025,220.167920,222.450909,191.072667,74.816828,237.829442,118.529609,153.718706,149.877411,57.903355,-173.887337,-370.624340,-656.666314,-196.549415,-196.247876,-145.379324
R-Solphos_1,CONF_0003,104.669665,-45.042289,344.592181,217.973504,218.775035,191.206797,73.990682,239.394622,117.760682,157.928935,152.640867,57.806433,-173.471683,-371.810525,-656.390856,-199.189430,-199.318075,-145.391920
R-Solphos_1,CONF_0004,103.892349,-41.962331,347.502957,223.500672,223.083034,190.254094,68.827850,237.502287,103.276975,151.852318,151.357500,53.626450,-177.144362,-371.069120,-655.684888,-194.850769,-195.374242,-145.150528
R-Solphos_1,CONF_0005,103.620264,-42.287000,348.200795,219.983778,222.427560,190.820140,68.942008,239.536238,103.991277,151.230379,153.892906,56.709946,-177.318680,-371.278358,-654.882676,-197.510757,-196.593787,-144.982940
R-Solphos_1,CONF_0006,103.716447,-42.423007,347.389054,222.504758,218.955835,190.197550,68.964542,238.630514,102.620497,154.939771,151.214665,53.790445,-177.222396,-371.514632,-655.697667,-196.485269,-198.912753,-145.541603
R-Solphos_1,CONF_0007,104.168772,-43.903631,344.366548,220.143511,222.457839,191.075867,74.790565,237.926525,118.617641,153.718774,149.845521,57.905479,-173.904649,-370.680105,-656.651468,-196.568950,-196.243473,-145.388145
R-Solphos_1,CONF_0008,104.288644,-43.750019,344.753140,224.277628,220.758373,189.968499,74.411772,237.497957,117.942102,155.287905,149.459797,54.633764,-173.668754,-370.588357,-656.254441,-193.857247,-196.766023,-146.273945
R-Solphos_1,CONF_0009,104.360868,-43.039703,344.193614,224.758559,222.891768,190.036931,74.566763,235.658439,119.400951,152.713472,147.641136,54.351052,-173.772947,-369.909590,-656.865223,-192.974078,-195.401336,-145.861509
R-Solphos_1,CONF_0010,103.502752,-42.741977,347.918619,217.467728,216.592566,190.920577,68.988187,240.317354,103.396399,155.484883,155.307131,56.512564,-177.385675,-371.762233,-655.084691,-200.744094,-202.026244,-145.030206
R-Solphos_1,CONF_0011,104.389351,-42.976124,344.064597,224.730949,222.895373,190.024198,74.495153,235.515955,119.442906,152.589431,147.664166,54.323742,-173.742980,-369.857667,-656.988514,-193.020134,-195.401899,-145.900378
R-Solphos_1,CONF_0012,104.383228,-44.735710,344.476170,217.957421,218.644056,191.190977,74.249868,239.153940,117.591647,157.881263,152.652758,57.861297,-173.605286,-371.519170,-656.501670,-199.147312,-199.424217,-145.421502
R-Solphos_1,CONF_0013,104.396689,-43.842078,344.671966,224.267309,220.765714,189.973263,74.247635,237.472540,118.064699,155.293110,149.389001,54.651064,-173.579840,-370.687972,-656.338084,-193.880012,-196.765179,-146.272189
R-Solphos_1,CONF_0014,104.491910,-44.805306,344.499178,217.972086,218.657951,191.208712,74.101281,239.100892,117.594342,157.923551,152.618317,57.884719,-173.542622,-371.589527,-656.476603,-199.152024,-199.420728,-145.403645
R-Solphos_1,CONF_0015,103.744353,-42.487876,347.337956,222.521261,218.988078,190.177649,68.952920,238.595367,102.758472,154.957898,151.212675,53.758653,-177.218500,-371.582287,-655.750248,-196.460363,-198.878213,-145.557119
R-Solphos_1,CONF_0016,104.245827,-43.868497,344.238449,220.192504,222.455590,191.059028,74.632065,237.657458,118.633208,153.676446,149.847474,57.896068,-173.800897,-370.670050,-656.778538,-196.537717,-196.234481,-145.389184
R-Solphos_1,CONF_0017,103.604947,-42.378095,348.158938,219.933924,222.456240,190.806187,68.948326,239.676648,104.081702,151.246927,153.868860,56.708423,-177.336067,-371.371365,-654.916086,-197.580959,-196.564094,-144.997770
R-Solphos_1,CONF_0018,103.897933,-41.943812,347.493920,223.474353,223.068963,190.243619,68.813592,237.427073,103.331276,151.858387,151.345961,53.608239,-177.133408,-371.048933,-655.695169,-194.881686,-195.399870,-145.144320
R-Solphos_1,CONF_0019,103.868955,-41.987951,347.469338,223.480610,223.060626,190.227211,68.862060,237.607558,103.389609,151.804305,151.396902,53.565148,-177.176209,-371.097812,-655.722339,-194.859667,-195.389762,-145.166423
R-Solphos_1,CONF_0020,103.488711,-42.779934,347.890824,217.493717,216.610956,190.911840,69.040709,240.302228,103.530211,155.496352,155.344474,56.503961,-177.420236,-371.802319,-655.112399,-200.711645,-202.011213,-145.043680
R-Solphos_1,CONF_0021,103.620054,-42.319351,348.214807,219.957001,222.462869,190.808671,68.921748,239.623013,103.979060,151.204491,153.851911,56.709583,-177.317191,-371.312127,-654.869146,-197.550251,-196.559946,-144.992937
R-Solphos_1,CONF_0022,103.507614,-42.712062,347.893711,217.520925,216.568124,190.921200,68.991896,240.203756,103.562483,155.472173,155.330289,56.491561,-177.369792,-371.729303,-655.101031,-200.684695,-202.045674,-145.031956
R-Solphos_1,CONF_0023,104.679632,-44.952965,344.616950,217.970776,218.660900,191.227392,74.031270,239.334906,117.844006,157.887142,152.647871,57.836474,-173.514698,-371.706768,-656.346584,-199.160134,-199.417704,-145.392889
R-Solphos_1,CONF_0024,103.749272,-42.489195,347.350266,222.538053,218.956314,190.196494,68.922913,238.753723,102.688023,154.906121,151.270094,53.777128,-177.215397,-371.591396,-655.748419,-196.439365,-198.923958,-145.554310
R-Solphos_1,CONF_0025,104.369191,-43.863166,344.725256,224.269198,220.751358,189.965741,74.327496,237.621004,118.115037,155.317376,149.407026,54.610418,-173.645030,-370.697202,-656.284988,-193.880859,-196.783142,-146.263527
R-Solphos_1,CONF_0026,104.196590,-43.905590,344.300522,220.168129,222.470650,191.067022,74.717695,237.791570,118.566387,153.671980,149.876577,57.916310,-173.850542,-370.688795,-656.719874,-196.548269,-196.231257,-145.399839
R-Solphos_1,CONF_0027,104.294106,-42.882686,344.070395,224.744782,222.900860,190.020591,74.563565,235.332969,119.336754,152.667831,147.679140,54.332727,-173.759792,-369.778661,-656.987145,-192.981719,-195.386151,-145.894237
R-Solphos_1,CONF_0028,103.418309,-42.629433,347.908976,217.520899,216.630556,190.884020,69.132986,240.070348,103.511018,155.470462,155.264498,56.418016,-177.426230,-371.642581,-655.077753,-200.685306,-201.973439,-145.045591
R-Solphos_2,CONF_0000,104.362165,-42.789311,344.301849,222.835772,224.698681,189.100992,74.571652,235.411575,119.000587,147.693624,152.580897,54.578503,-173.765644,-369.672117,-656.764563,-195.396665,-192.985319,-144.587031
R-Solphos_2,CONF_0001,104.704768,-44.004301,344.763661,220.800360,224.171531,189.631518,74.002538,237.554324,118.121735,149.479518,155.094641,58.247483,-173.438700,-370.832647,-656.252629,-196.733511,-194.005129,-144.402795
R-Solphos_2,CONF_0002,104.300478,-43.664759,344.373595,222.363917,220.200662,189.081524,74.573086,237.636733,118.286792,149.944925,153.818613,54.608119,-173.775573,-370.481952,-656.647725,-196.264172,-196.483834,-144.961847
R-Solphos_2,CONF_0003,104.692212,-44.916023,344.554323,218.695268,217.982263,189.811725,73.930686,239.204891,117.564066,152.738624,157.975451,57.972918,-173.401057,-371.706054,-656.430657,-199.361722,-199.147318,-144.399947
R-Solphos_2,CONF_0004,103.886149,-41.853496,347.312368,223.044107,223.478432,189.884619,68.801186,237.292826,103.288541,151.298344,151.939768,53.694007,-177.133674,-370.972896,-655.842137,-195.422509,-194.809993,-143.987640
R-Solphos_2,CONF_0005,103.648276,-42.232530,348.001531,222.391993,219.990203,189.896943,68.853456,239.327504,104.153197,153.878558,151.146100,53.928891,-177.289746,-371.240276,-655.046229,-196.607556,-197.490335,-144.452709
R-Solphos_2,CONF_0006,103.750540,-42.396195,347.042533,218.974075,222.496784,190.071499,68.866645,238.392143,102.837060,151.388910,155.138914,57.210596,-177.193857,-371.519354,-656.005707,-198.835866,-196.420575,-143.920639
R-Solphos_2,CONF_0007,104.298507,-43.787774,344.348871,222.402165,220.165876,189.103679,74.502458,237.642727,118.249227,149.866603,153.818016,54.658509,-173.740261,-370.608805,-656.682873,-196.233588,-196.541437,-144.966652
R-Solphos_2,CONF_0008,104.740121,-43.898069,344.736148,220.779745,224.109865,189.602695,73.989777,237.384012,118.230325,149.449970,155.209489,58.183271,-173.428886,-370.716502,-656.262450,-196.761865,-194.124620,-144.416478
