Ligand,Conformer,Vbur_5,Vbur_6,Vbur_7
103_cs,CONF_0491,44.76073044,70.26160856,70.36906301
103_cs,CONF_0594,43.50024925,68.44846661,70.73008384
103_cs,CONF_0640,47.47532204,70.56447711,73.66056758
103_cs,CONF_0740,44.61658428,71.6324979,70.72328456
103_cs,CONF_0765,44.87076567,70.32513023,71.51631697
103_cs,CONF_0812,44.93029279,72.78949219,70.07575072
103_cs,CONF_0813,44.9824301,68.14356332,71.76973929
103_cs,CONF_0846,44.98479037,68.13794467,71.76367462
103_cs,CONF_0879,42.89453017,67.32090216,70.79431167
103_cs,CONF_0986,44.56725313,70.42698529,69.79948435
103_cs,CONF_1024,44.66110061,71.31576071,67.86592765
103_cs,CONF_1078,42.32116152,67.46228689,70.76263369
103_cs,CONF_1255,45.6666105,71.13272862,70.4547749
104_cs,CONF_0036,39.76281932,67.21241621,67.0109323
104_cs,CONF_0037,42.96437454,70.04644038,69.74213263
104_cs,CONF_0060,44.0146736,69.15133231,70.63547651
104_cs,CONF_0063,41.88363094,68.56933584,70.57058813
104_cs,CONF_0069,43.26507139,67.45028497,71.62086988
104_cs,CONF_0070,43.77028213,67.68299391,71.90328351
104_cs,CONF_0074,41.68953285,68.49905905,70.29857106
104_cs,CONF_0078,43.93478394,68.3455812,70.93442614
104_cs,CONF_0083,43.61777752,68.12605872,71.0215275
104_cs,CONF_0103,42.37290968,68.64353321,70.42251658
104_cs,CONF_0115,42.36186198,70.40987259,68.64626036
104_cs,CONF_0122,43.70817723,67.58789037,71.49079506
104_cs,CONF_0158,42.35685641,67.22460139,71.77563716
104_cs,CONF_0163,43.59698256,67.87112999,70.5470997
104_cs,CONF_0275,43.00572247,67.37163108,70.84314131
104_cs,CONF_0336,42.96321207,70.04316122,69.74746153
104_cs,CONF_0370,44.60034505,70.44604631,69.80404171
104_cs,CONF_0379,42.32932907,67.36563239,70.52810476
104_cs,CONF_0419,42.42825524,67.19817482,70.56725862
104_cs,CONF_0502,44.76293983,70.36447806,70.2677205
104_cs,CONF_0584,43.54311241,68.47849396,70.73826905
104_cs,CONF_0687,47.45142353,73.66577801,70.56508744
104_cs,CONF_0722,44.58959783,70.698813,71.62507641
104_cs,CONF_0755,44.90254304,70.34279989,71.51339526
104_cs,CONF_0780,44.99854833,70.08348013,72.82058744
104_cs,CONF_0812,43.76470818,67.68332505,71.91017807
104_cs,CONF_0828,44.98601628,68.14631572,71.77130635
104_cs,CONF_0858,42.9915814,67.36903815,70.84418903
104_cs,CONF_0967,44.58533182,70.4364227,69.79503092
104_cs,CONF_1032,44.62596439,67.8531942,71.30044281
104_cs,CONF_1043,42.23405848,69.40638634,69.11956578
104_cs,CONF_1200,42.39782327,70.55206224,67.17962357
104_cs,CONF_1230,45.73141141,71.15564427,70.47122803
105_cs,CONF_0001,43.96935329,71.48113902,69.22251589
105_cs,CONF_0004,44.15358544,69.24013098,69.65456501
105_cs,CONF_0005,44.70191137,69.04352779,69.49966546
105_cs,CONF_0007,44.16841539,69.25878013,69.6394531
105_cs,CONF_0010,43.9645581,71.47460288,69.21522128
105_cs,CONF_0012,44.6916721,69.05906902,69.47230128
105_cs,CONF_0013,44.68612925,69.05654597,69.47484145
105_cs,CONF_0014,43.98159108,69.21030461,71.47045615
106_cs,CONF_0003,43.95878907,71.4566592,69.20088342
106_cs,CONF_0004,44.14320705,69.21955961,69.6713396
106_cs,CONF_0005,44.68206137,69.48069942,69.05292049
106_cs,CONF_0007,44.17688998,69.64213728,69.2800205
106_cs,CONF_0010,43.96383124,71.47144994,69.20907279
106_cs,CONF_0011,44.7145477,69.48039605,69.04226974
106_cs,CONF_0012,44.7303524,69.46209637,69.04551043
106_cs,CONF_0013,43.99214363,71.46652723,69.21213185
107_cs,CONF_0003,41.63113437,67.10182859,66.35890573
107_cs,CONF_0004,42.93005915,67.65854698,67.55078241
107_cs,CONF_0007,43.08827502,66.89952331,68.58163311
107_cs,CONF_0009,42.97445167,68.62321343,66.89282522
107_cs,CONF_0010,43.59783564,68.37756436,68.13199437
107_cs,CONF_0015,43.52468398,68.39817557,68.24300662
107_cs,CONF_0020,43.51951775,68.39691935,68.23743927
107_cs,CONF_0024,43.75345502,67.89827339,67.78201079
107_cs,CONF_0026,44.35511888,68.06822794,69.37263849
107_cs,CONF_0027,42.37723112,66.99520319,67.30634269
107_cs,CONF_0030,43.98965105,67.45194939,68.82384559
107_cs,CONF_0032,44.78695259,68.29094575,69.07470284
107_cs,CONF_0033,43.59467063,68.36939872,68.12912219
107_cs,CONF_0034,42.37949456,67.06630641,67.32349552
107_cs,CONF_0035,45.31716249,68.83953137,69.12718222
107_cs,CONF_0044,44.29446981,67.06564647,68.98623175
107_cs,CONF_0045,44.8655724,68.50742642,69.02163697
107_cs,CONF_0052,44.3843082,67.63960539,69.77245607
107_cs,CONF_0054,44.52217601,68.17159622,68.60703937
107_cs,CONF_0055,43.72856104,69.50798557,67.39149506
107_cs,CONF_0058,44.88328491,68.97394658,68.63809253
107_cs,CONF_0060,42.9867637,67.38383346,67.3310562
107_cs,CONF_0063,43.65972616,68.4060542,69.10192857
107_cs,CONF_0066,43.75831114,69.15157967,67.29392303
107_cs,CONF_0067,45.42321526,68.98012411,68.97355759
107_cs,CONF_0068,44.87375147,68.50951245,69.02141714
107_cs,CONF_0075,45.5430055,68.64887821,70.46921646
107_cs,CONF_0096,45.17132308,68.16448787,69.84139693
107_cs,CONF_0100,45.35981915,68.61322914,69.07847239
107_cs,CONF_0103,43.97484081,68.81705308,67.80374814
107_cs,CONF_0113,44.07576801,69.80382491,67.73808604
107_cs,CONF_0144,44.88926331,68.96605501,68.64453155
107_cs,CONF_0145,45.65433223,70.01596495,68.67406465
107_cs,CONF_0167,43.96802907,68.0078425,69.29828409
107_cs,CONF_0170,43.96750811,68.76366411,67.92675744
107_cs,CONF_0197,45.74390686,68.72780387,69.85017058
107_cs,CONF_0206,43.7465188,69.51788221,67.39299649
107_cs,CONF_0224,45.54972182,68.83706585,70.94427217
107_cs,CONF_0378,45.36029287,69.72759655,69.87509338
107_cs,CONF_0394,42.99566955,67.38772183,67.33330595
108_cs,CONF_0003,41.64424839,67.10558472,66.35431121
108_cs,CONF_0004,42.92301662,67.66688367,67.5519046
108_cs,CONF_0007,43.09369378,66.90231993,68.58125349
108_cs,CONF_0009,42.96933417,68.60976775,66.87270935
108_cs,CONF_0010,43.58414535,68.36232184,68.11452634
