Ligand,Conformer,1C,2C,3C,5Pd,6P,7P
108_cs,CONF_0007,0.12622,0.02673,0.14619,0.21172,0.19734,0.20451
108_cs,CONF_0009,0.13723,0.02657,0.13669,0.21987,0.20051,0.20116
108_cs,CONF_0010,0.12204,0.02651,0.14740,0.21775,0.19868,0.20005
108_cs,CONF_0015,0.13600,0.02549,0.13043,0.21981,0.20285,0.19434
108_cs,CONF_0020,0.13587,0.02552,0.13045,0.21977,0.20277,0.19435
108_cs,CONF_0024,0.12638,0.02748,0.15723,0.22264,0.19492,0.20810
108_cs,CONF_0026,0.13134,0.02655,0.12961,0.22147,0.19516,0.19596
108_cs,CONF_0027,0.14834,0.02563,0.11793,0.23743,0.20108,0.19071
108_cs,CONF_0030,0.13018,0.02696,0.14911,0.22685,0.20133,0.20534
108_cs,CONF_0032,0.12161,0.02770,0.15624,0.22317,0.19248,0.20747
108_cs,CONF_0033,0.12138,0.02669,0.14820,0.21855,0.19853,0.19965
108_cs,CONF_0034,0.14895,0.02555,0.11748,0.23746,0.20107,0.19066
108_cs,CONF_0035,0.11209,0.02660,0.17382,0.22111,0.20624,0.19862
108_cs,CONF_0044,0.14802,0.02526,0.11432,0.24069,0.19701,0.19552
108_cs,CONF_0045,0.12877,0.02607,0.13502,0.23624,0.20302,0.19091
108_cs,CONF_0052,0.12183,0.02733,0.15246,0.22581,0.19210,0.20253
108_cs,CONF_0054,0.09689,0.02555,0.18632,0.23121,0.19524,0.20738
108_cs,CONF_0055,0.12232,0.02637,0.15811,0.21523,0.20365,0.19852
108_cs,CONF_0058,0.13248,0.02704,0.14488,0.23187,0.19861,0.20357
108_cs,CONF_0060,0.10105,0.02596,0.18673,0.22782,0.19928,0.20630
108_cs,CONF_0063,0.12611,0.02674,0.14514,0.21695,0.19794,0.20213
108_cs,CONF_0066,0.11672,0.02655,0.16866,0.21612,0.20569,0.19726
108_cs,CONF_0067,0.12153,0.02686,0.14215,0.23716,0.19600,0.20025
108_cs,CONF_0068,0.12874,0.02602,0.13512,0.23628,0.20302,0.19084
108_cs,CONF_0075,0.12179,0.02625,0.14072,0.23736,0.19894,0.19285
108_cs,CONF_0096,0.14513,0.02495,0.11382,0.23828,0.20091,0.19082
108_cs,CONF_0100,0.13778,0.02311,0.13257,0.23188,0.20352,0.19566
108_cs,CONF_0103,0.09755,0.02629,0.18243,0.23472,0.20061,0.20072
108_cs,CONF_0113,0.11920,0.02683,0.15700,0.21905,0.20629,0.19750
108_cs,CONF_0145,0.13241,0.02705,0.14477,0.23189,0.19867,0.20336
108_cs,CONF_0146,0.11790,0.02580,0.15069,0.22231,0.20371,0.19782
108_cs,CONF_0168,0.11429,0.02509,0.15947,0.23639,0.20063,0.19600
108_cs,CONF_0171,0.11976,0.02498,0.15430,0.23394,0.20353,0.19253
108_cs,CONF_0197,0.10993,0.02477,0.16085,0.24138,0.20500,0.18995
108_cs,CONF_0207,0.12222,0.02643,0.15830,0.21537,0.20337,0.19862
108_cs,CONF_0225,0.10935,0.02634,0.17480,0.24386,0.20830,0.19150
108_cs,CONF_0383,0.12051,0.02726,0.16023,0.23021,0.20009,0.19692
108_cs,CONF_0398,0.10149,0.02607,0.18680,0.22742,0.19939,0.20617
109_cs,CONF_0003,0.15120,0.02138,0.08655,0.30448,0.18105,0.16274
