Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
104_cs,CONF_0967,-0.27176,-0.23026,-0.32850,0.24299,0.29683,0.92547,0.90089,0.24199,0.24590
104_cs,CONF_1032,-0.31354,-0.22548,-0.29659,0.23859,0.29764,0.95817,0.88208,0.24347,0.24626
104_cs,CONF_1043,-0.30621,-0.22082,-0.29908,0.23851,0.29006,0.94018,0.90696,0.24245,0.24418
104_cs,CONF_1200,-0.31425,-0.22746,-0.28962,0.24181,0.28594,0.90647,0.94269,0.24421,0.24196
104_cs,CONF_1230,-0.32642,-0.23105,-0.27546,0.24176,0.29491,0.89598,0.91224,0.24582,0.24440
105_cs,CONF_0001,-0.31550,-0.22845,-0.26159,0.24229,0.28672,0.95462,0.97446,0.24836,0.24408
105_cs,CONF_0004,-0.30927,-0.23397,-0.26719,0.24088,0.26961,0.96740,0.97852,0.24796,0.24347
105_cs,CONF_0005,-0.25164,-0.23142,-0.32000,0.24027,0.27332,0.97825,0.96880,0.23965,0.24788
105_cs,CONF_0007,-0.30916,-0.23444,-0.26675,0.24087,0.26954,0.96715,0.97863,0.24791,0.24364
105_cs,CONF_0010,-0.31545,-0.22847,-0.26158,0.24228,0.28670,0.95458,0.97446,0.24840,0.24408
105_cs,CONF_0012,-0.25140,-0.23163,-0.32031,0.24042,0.27321,0.97823,0.96879,0.23968,0.24793
105_cs,CONF_0013,-0.25165,-0.23155,-0.31990,0.24039,0.27345,0.97767,0.96860,0.23971,0.24783
105_cs,CONF_0014,-0.26178,-0.22826,-0.31547,0.24218,0.28666,0.97432,0.95486,0.24404,0.24831
106_cs,CONF_0003,-0.31540,-0.22808,-0.26162,0.24216,0.28672,0.95461,0.97409,0.24829,0.24411
106_cs,CONF_0004,-0.30899,-0.23404,-0.26756,0.24085,0.26955,0.96760,0.97834,0.24789,0.24348
106_cs,CONF_0005,-0.31986,-0.23162,-0.25171,0.24038,0.27307,0.96884,0.97839,0.24781,0.23960
106_cs,CONF_0007,-0.26664,-0.23443,-0.30959,0.24104,0.26934,0.97920,0.96703,0.24345,0.24803
106_cs,CONF_0010,-0.31522,-0.22811,-0.26167,0.24214,0.28633,0.95453,0.97457,0.24831,0.24407
106_cs,CONF_0011,-0.32004,-0.23134,-0.25177,0.24024,0.27326,0.96887,0.97848,0.24782,0.23976
106_cs,CONF_0012,-0.32016,-0.23132,-0.25168,0.24018,0.27317,0.96896,0.97859,0.24783,0.23972
106_cs,CONF_0013,-0.31563,-0.22824,-0.26160,0.24229,0.28641,0.95485,0.97468,0.24831,0.24408
107_cs,CONF_0003,-0.30773,-0.21738,-0.31585,0.23984,0.28761,0.88932,0.90311,0.24610,0.24567
107_cs,CONF_0004,-0.30088,-0.21848,-0.31761,0.24042,0.29458,0.88096,0.88452,0.24691,0.24687
107_cs,CONF_0007,-0.30080,-0.21894,-0.31549,0.24101,0.29343,0.89610,0.86608,0.24591,0.24631
107_cs,CONF_0009,-0.31064,-0.21878,-0.30949,0.24043,0.28934,0.87016,0.89546,0.24559,0.24499
107_cs,CONF_0010,-0.29829,-0.21959,-0.31650,0.24165,0.29150,0.87984,0.87857,0.24557,0.24583
107_cs,CONF_0015,-0.30105,-0.21971,-0.30983,0.23985,0.29616,0.86343,0.87838,0.24589,0.24586
107_cs,CONF_0020,-0.30079,-0.21967,-0.31014,0.23988,0.29622,0.86350,0.87823,0.24586,0.24588
107_cs,CONF_0024,-0.29751,-0.22074,-0.32260,0.24209,0.28369,0.88865,0.88654,0.24514,0.24574
107_cs,CONF_0026,-0.29910,-0.21908,-0.31147,0.24028,0.29369,0.88122,0.86232,0.24631,0.24706
107_cs,CONF_0027,-0.30934,-0.22037,-0.30202,0.24015,0.28985,0.88960,0.88057,0.24591,0.24459
107_cs,CONF_0030,-0.29954,-0.22251,-0.31546,0.24198,0.29047,0.88339,0.86522,0.24449,0.24489
107_cs,CONF_0032,-0.29570,-0.22141,-0.32190,0.24226,0.28821,0.88306,0.86825,0.24615,0.24693
107_cs,CONF_0033,-0.29812,-0.21959,-0.31654,0.24164,0.29137,0.88020,0.87876,0.24558,0.24589
107_cs,CONF_0034,-0.30693,-0.22003,-0.30545,0.24098,0.28904,0.88801,0.88094,0.24532,0.24420
107_cs,CONF_0035,-0.29385,-0.22311,-0.32174,0.24032,0.29330,0.87652,0.86747,0.24607,0.24743
107_cs,CONF_0044,-0.30569,-0.22211,-0.30143,0.23974,0.29361,0.88547,0.86309,0.24669,0.24563
107_cs,CONF_0045,-0.29657,-0.22192,-0.31306,0.24164,0.29347,0.86697,0.88563,0.24540,0.24524
107_cs,CONF_0052,-0.29536,-0.21983,-0.32047,0.24157,0.28981,0.88477,0.86680,0.24616,0.24686
107_cs,CONF_0054,-0.28262,-0.22462,-0.33102,0.24181,0.29221,0.88325,0.85343,0.24551,0.24771
107_cs,CONF_0055,-0.30058,-0.22093,-0.31780,0.24022,0.29463,0.86873,0.88636,0.24604,0.24587
107_cs,CONF_0058,-0.30065,-0.22254,-0.31482,0.24194,0.28896,0.86978,0.87795,0.24448,0.24432
107_cs,CONF_0060,-0.28327,-0.22342,-0.33363,0.24172,0.28380,0.89038,0.87846,0.24420,0.24669
107_cs,CONF_0063,-0.30110,-0.21931,-0.31556,0.24136,0.29037,0.88035,0.87418,0.24573,0.24573
107_cs,CONF_0066,-0.29563,-0.22156,-0.32354,0.24059,0.28965,0.88085,0.88959,0.24551,0.24657
107_cs,CONF_0067,-0.29531,-0.22427,-0.31248,0.24230,0.29204,0.85935,0.86151,0.24571,0.24525
107_cs,CONF_0068,-0.29649,-0.22203,-0.31301,0.24164,0.29346,0.86674,0.88574,0.24544,0.24521
107_cs,CONF_0075,-0.29152,-0.22306,-0.31530,0.24164,0.29755,0.85742,0.86167,0.24631,0.24590
107_cs,CONF_0096,-0.30015,-0.22267,-0.30255,0.23967,0.29771,0.86418,0.85866,0.24593,0.24633
107_cs,CONF_0100,-0.30012,-0.22309,-0.30206,0.23975,0.29470,0.86516,0.85996,0.24706,0.24366
107_cs,CONF_0103,-0.28386,-0.22442,-0.32960,0.24217,0.29410,0.86590,0.86721,0.24478,0.24687
107_cs,CONF_0113,-0.29472,-0.22223,-0.31975,0.24180,0.28900,0.86777,0.88054,0.24478,0.24561
